,b1,a2,b2,RatioTotalArea,frac,Nc
41599,0.00625,0.15,0.03,0.012409290981679682,0.6,11.9432
35755,0.03333333333333333,0.025,0.025,0.022122048269028128,0.6,12.1846
47738,0.5,0.4,0.02,0.06314601233715487,0.95,6.50052
16756,0.00625,0.2,0.001,0.007979645340118075,0.2,6.646089999999999
759,0.5,0.15,0.0075,0.6290253890650164,0.2,1.7849
1686,0.25,0.1,0.03333333333333333,0.3735877263893863,0.05,2.65573
45633,0.0025,0.005,5e-05,0.00019709566910458985,0.95,111.463
13562,0.016666666666666666,0.3,0.3,0.10314895879286487,0.3,4.6336
39425,0.016666666666666666,0.35,0.06999999999999999,0.06173229564303943,0.7,6.838239999999999
35667,0.025,0.05,0.005,0.02002765316663493,0.5,10.0836
30027,0.08333333333333333,0.005,0.005,0.052407001449633735,0.6,10.1996
5217,0.1,0.4,0.1,0.15079644737231007,0.2,4.12068
22889,0.00625,0.15,0.003,0.0022540927289506764,0.9,32.8094
11524,0.025,0.15,0.03,0.0380132711084365,0.05,5.3057099999999995
23427,0.016666666666666666,0.005,0.001,0.0013239195041003,0.95,104.82600000000001
40291,0.01,0.05,0.0016666666666666668,0.006440264939859077,0.6,13.3991
54794,0.07142857142857142,0.01,0.0033333333333333327,0.005709470648774027,0.95,84.9088
40490,0.01,0.15,0.0003,0.006368008308826512,0.6,12.3041
33969,0.05555555555555555,0.25,0.0625,0.0643590161672909,0.6,7.8155
15307,0.00625,0.2,0.004,0.009087056750508476,0.1,6.00376
49139,0.16666666666666666,0.005,5e-05,0.02618064563826199,0.9,31.5306
12346,0.025,0.15,0.0375,0.03495021827118645,0.2,6.1835
59940,0.1,0.45,0.00045,0.0022006071140233123,0.99,6.884427443
54217,0.08333333333333333,0.2,0.006666666666666667,0.010524335389525814,0.95,25.364
30737,0.07142857142857142,0.35,0.35,0.22125788260282397,0.4,3.5467699999999995
2322,0.16666666666666666,0.1,0.014285714285714287,0.2360682479697473,0.1,3.50241
13805,0.016666666666666666,0.4,0.05714285714285715,0.03530551744034244,0.2,5.46671
19619,0.0005,0.4,0.1,0.007029313562407163,0.05,5.60575
49219,0.125,0.35,0.175,0.19281524911407352,0.9,4.93369
31672,0.0625,0.45,0.15,0.14372786390173306,0.4,4.15266
28540,0.125,0.2,0.006666666666666667,0.08105309046261666,0.6,7.78418
709,0.5,0.1,0.006666666666666667,0.6287374097384373,0.2,1.7913599999999998
3314,0.125,0.1,0.0002,0.17672086994973304,0.1,3.9570800000000004
13667,0.016666666666666666,0.25,0.03571428571428571,0.02674093746805597,0.3,6.68388
39648,0.0125,0.35,0.03888888888888889,0.033510321638291124,0.6,7.15839
24667,0.5,0.2,0.005,0.3942698780255191,0.5,2.75447
22524,0.0125,0.25,0.00125,0.00284706834231575,0.9,17.3975
25371,0.25,0.5,0.5,0.5890486225480862,0.5,1.8393099999999998
27213,0.16666666666666666,0.1,0.0125,0.08128870991163589,0.7,10.0804
20224,0.001,0.1,0.014285714285714287,0.0024459542802949107,0.3,7.91345
34145,0.05555555555555555,0.45,0.0045000000000000005,0.03872362011399818,0.6,5.62346
61503,0.005,0.3,0.02,0.018739600178663118,0.99,13.44973284
45923,0.00625,0.025,0.0025,0.0006774059159302997,0.95,108.35700000000001
