,b1,a2,b2,RatioTotalArea,frac,Nc
5635,0.08333333333333333,0.3,0.02,0.09728465250616393,0.3,5.190519999999999
21682,0.001,0.1,0.002,0.0007225663103256522,0.9,45.4177
42470,0.0005,0.45,0.0045000000000000005,0.003015928947446202,0.4,6.04712
22080,0.025,0.45,0.1125,0.1470658060961722,0.9,4.4549
33055,0.0625,0.5,0.016666666666666666,0.04777838827334477,0.7,4.94029
33952,0.05555555555555555,0.2,0.0025,0.03584906283596353,0.6,9.61556
31088,0.08333333333333333,0.1,0.05,0.050265482457436686,0.7,12.4306
7234,0.07142857142857142,0.01,0.005,0.07858694022954868,0.3,6.0713099999999995
18851,0.0025,0.25,0.03125,0.008050331174823845,0.2,6.4946699999999975
43251,0.00625,0.2,0.03333333333333333,0.0176060088294928,0.7,12.6423
20534,0.001,0.005,0.0001,0.001100028667654466,0.3,8.018130000000001
27256,0.16666666666666666,0.025,0.0003125,0.10473448133522346,0.6,7.888839999999999
56294,0.005,0.1,0.05,0.014137166941154073,0.8,21.9698
41245,0.0125,0.05,0.0016666666666666668,0.0060737457969402674,0.7,17.6272
13165,0.0125,0.3,0.015,0.019085175370558,0.1,5.7038
55766,0.00625,0.15,0.00015,0.0020200440762582366,0.8,21.6317
16591,0.00625,0.1,0.1,0.014137166941154073,0.2,6.6505399999999995
27203,0.16666666666666666,0.025,0.0035714285714285718,0.10488805472610208,0.6,7.8892
37279,0.0125,0.4,0.02,0.022383847656827282,0.5,6.39507
26747,0.25,0.005,1e-05,0.11780983446536013,0.7,8.41778
26277,0.25,0.45,0.075,0.2780309498426967,0.4,3.13858
12151,0.025,0.5,0.1,0.07461282552275758,0.3,4.5993900000000005
8205,0.0625,0.05,0.0125,0.06931138791982483,0.3,6.24838
21663,0.005,0.1,0.005,0.0021991148575128553,0.9,44.1429
10375,0.03333333333333333,0.025,0.0027777777777777783,0.04975279198966335,0.05,5.15257
58485,0.025,0.2,0.025,0.0159435827169682,0.99,26.48041655
11429,0.025,0.1,0.05,0.03691371367968007,0.1,5.59093
41123,0.00625,0.01,0.0016666666666666668,0.00395840674352314,0.6,13.7025
42368,0.0005,0.35,0.05833333333333333,0.02612757890235512,0.4,6.4335
35896,0.016666666666666666,0.1,0.006666666666666667,0.01654572130890624,0.4,8.5928
30672,0.08333333333333333,0.35,0.0035,0.04196382387032566,0.7,7.36533
22597,0.0125,0.2,0.028571428571428574,0.01812025762695541,0.9,19.7952
1058,0.25,0.45,0.09,0.3661526237758904,0.1,2.64546
45510,0.0005,0.4,0.06666666666666668,0.0796262837991113,0.95,6.3209300000000015
44517,0.0005,0.3,0.00375,0.0024347343065320892,0.6,9.19705
26433,0.25,0.25,0.008333333333333333,0.1610066234964769,0.6,5.3297099999999995
39477,0.0125,0.2,0.001,0.00823097275240526,0.6,11.177999999999999
35707,0.025,0.05,5e-05,0.0196388810757532,0.5,10.0895
27428,0.16666666666666666,0.025,2.5e-05,0.07854119078653078,0.7,10.505999999999998
19580,0.0005,0.35,0.03888888888888889,0.0028841565889206303,0.05,5.73557
36584,0.016666666666666666,0.1,0.025,0.017016960206944712,0.5,10.1345
57849,0.0125,0.05,0.0125,0.005497787143782139,0.8,26.10103597
26752,0.16666666666666666,0.005,0.0005555555555555557,0.10472499110741576,0.6,7.8940100000000015
30950,0.0625,0.005,0.005,0.058936278181344524,0.4,7.3102100000000005
25228,0.5,0.35,0.06999999999999999,0.5020265060436491,0.4,2.1446099999999997
57784,0.01,0.4,0.01,0.012723450247038665,0.95,8.12711
21343,0.01,0.25,0.027777777777777776,0.021205750411731103,0.9,14.8877
51660,0.125,0.4,0.005,0.01578650308428872,0.95,7.981510000000001
29891,0.08333333333333333,0.3,0.01,0.08230972752405256,0.4,5.752999999999999
29893,0.08333333333333333,0.3,0.0075,0.08136724972797563,0.4,5.76645
48130,0.5,0.025,0.008333333333333333,0.008501935118777386,0.99,139.72799999999998
40625,0.0025,0.45,0.045,0.02780309498426967,0.4,5.5904300000000005
